34 37 1.240000 310.7643, 103.8460, 332.1365, 104.0347, 332.0058, 118.8390, 310.6336, 118.6503
34 38 1.270000 313.5185, 102.4727, 335.2003, 102.1719, 335.4105, 117.3243, 313.7287, 117.6251
34 39 1.310000 317.3656, 100.5924, 339.3548, 100.0499, 339.7389, 115.6200, 317.7497, 116.1625
34 40 1.340000 320.3499, 99.1360, 342.5189, 98.6817, 342.8445, 114.5687, 320.6755, 115.0230
34 41 1.370000 323.0603, 98.0278, 345.5317, 97.1385, 346.1713, 113.3015, 323.6999, 114.1907
34 42 1.410000 326.8755, 96.3863, 349.6269, 95.4395, 350.3159, 111.9973, 327.5645, 112.9441
34 43 1.440000 329.7441, 95.2048, 352.6819, 94.3092, 353.3391, 111.1396, 330.4012, 112.0353
34 44 1.470000 332.4155, 94.3013, 355.6196, 93.1315, 356.4784, 110.1675, 333.2743, 111.3373
34 45 1.510000 336.0410, 93.1460, 359.5388, 91.8708, 360.4780, 109.1767, 336.9802, 110.4519
34 46 1.540000 338.8224, 92.3491, 362.4787, 91.2093, 363.3229, 108.7303, 339.6666, 109.8700
34 47 1.570000 341.3003, 92.0363, 365.2557, 90.5081, 366.3819, 108.1626, 342.4265, 109.6908
34 48 1.610000 344.6753, 91.7911, 368.9493, 90.0244, 370.2474, 107.8602, 345.9735, 109.6270
34 49 1.640000 347.2459, 91.7508, 371.7055, 90.0041, 372.9893, 107.9811, 348.5297, 109.7279
34 50 1.670000 349.5513, 92.1914, 374.3015, 90.0254, 375.8792, 108.0531, 351.1290, 110.2191
34 51 1.710000 352.6679, 93.0090, 377.7307, 90.5548, 379.5030, 108.6543, 354.4403, 111.1085
34 52 1.740000 355.0254, 93.8189, 380.2745, 91.3468, 382.0527, 109.5090, 356.8036, 111.9811
34 53 1.770000 357.1501, 95.1417, 382.6605, 92.2760, 384.6977, 110.4107, 359.1873, 113.2764
34 54 1.810000 360.0206, 97.2382, 385.8095, 94.1470, 387.9816, 112.2683, 362.1927, 115.3596
34 55 1.840000 362.1788, 99.1230, 388.1397, 96.0469, 390.2875, 114.1731, 364.3266, 117.2492
34 56 1.870000 364.1519, 101.5784, 390.3328, 98.2223, 392.6468, 116.2738, 366.4659, 119.6299
34 57 1.910000 366.7890, 105.3588, 393.2168, 101.8681, 395.5904, 119.8383, 369.1625, 123.3289
34 58 1.940000 368.7478, 108.5853, 395.3365, 105.1373, 397.6600, 123.0543, 371.0713, 126.5024
34 59 1.970000 370.5307, 112.3033, 397.3115, 108.6514, 399.7381, 126.4470, 372.9573, 130.0989
34 60 2.010000 372.8187, 117.3991, 399.8163, 113.6933, 402.2393, 131.3456, 375.2418, 135.0514
34 61 2.040000 374.4417, 120.9202, 401.5630, 117.4484, 403.8178, 135.0624, 376.6965, 138.5343
34 62 2.070000 375.6631, 124.5365, 402.9464, 120.7091, 405.3792, 138.0511, 378.0960, 141.8785
34 63 2.110000 377.1001, 128.5559, 404.5370, 124.6303, 406.9735, 141.6597, 379.5367, 145.5853
