timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
710419608,0,0.0,0.0,-0.031724323,0.6017052,-0.14318237,-0.014725093,0.004103156,0.59175354,0.0012344852,-0.0030136807,-0.20480788,-0.114813164,0.12236832,0.09785107,-0.058551528,-0.011741842,-0.020311052,-0.26083773,1.5723197,-0.6516362,0.0,0.16848186,0.032378864,0.016234094,0.057464413,0.03071922,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
710520951,0,0.0,0.0,-0.0316534,0.6019814,-0.14398165,-0.014725093,0.004103156,0.59175354,0.0016794506,-0.002467489,-0.20286599,-0.10668572,0.12236832,0.09785107,-0.058551528,-0.0011718492,0.17198958,-0.05245061,1.5723491,-0.6516362,0.0,0.16835883,0.03235073,0.01623402,0.05748526,0.030719362,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
710617398,0,0.0,0.0,-0.031612057,0.6023009,-0.14316574,-0.014725093,0.004103156,0.59175354,0.0009829988,-0.0023715498,-0.2016529,-0.099633075,0.12236832,0.09785107,-0.058551528,-0.048760626,0.023799852,-0.10691323,1.5723195,-0.6516362,0.0,0.16681513,0.032354675,0.01623397,0.057548653,0.030719418,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
710820429,0,0.0,0.0,-0.031626068,0.6027887,-0.14236712,-0.014725093,0.004103156,0.59175354,0.001439238,-0.0027595651,-0.2013446,-0.08870927,0.12236832,0.09785107,-0.058551528,0.073738836,-0.076799355,-0.16809644,1.5723377,-0.6516362,0.0,0.1659152,0.03245254,0.016233837,0.05765172,0.030717546,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
710922061,0,0.0,0.0,-0.03163302,0.6030093,-0.14167926,-0.014725093,0.004103156,0.59175354,0.0011779399,-0.0020895484,-0.200587,-0.08327935,0.12236832,0.09785107,-0.058551528,0.06780227,-0.10269989,-0.17276749,1.5723512,-0.6516362,0.0,0.16486807,0.032461934,0.01623372,0.057700496,0.030717677,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
711018422,0,0.0,0.0,-0.031672187,0.6032405,-0.13977553,-0.014725093,0.004103156,0.59175354,0.00086984504,-0.0013464963,-0.19907154,-0.07757503,0.12236832,0.09785107,-0.058551528,0.0616019,0.11441322,-0.11847286,1.5723746,-0.6516362,0.0,0.16273358,0.03253278,0.016233634,0.057826094,0.030717587,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
711119917,0,0.0,0.0,-0.03172412,0.6034769,-0.13860233,-0.014725093,0.004103156,0.59175354,0.00093647564,-0.0010280102,-0.19801937,-0.072780885,0.12236832,0.09785107,-0.058551528,0.10057384,0.005610566,-0.17679998,1.5724069,-0.6516362,0.0,0.1613631,0.032592073,0.016233567,0.05792517,0.03071767,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
711221434,0,0.0,0.0,-0.03176739,0.60372823,-0.1374084,-0.014725093,0.004103156,0.59175354,0.0010755233,-0.0007515589,-0.19663714,-0.06799445,0.12236832,0.09785107,-0.058551528,0.11671715,-0.12923773,-0.25246552,1.5723975,-0.6516362,0.0,0.16063915,0.03259277,0.01623348,0.05779553,0.030715587,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
711323165,0,0.0,0.0,-0.03180641,0.60402423,-0.13402666,-0.014725093,0.004103156,0.59175354,0.00074872235,-5.6497305e-05,-0.19223706,-0.060275637,0.12236832,0.09785107,-0.058551528,0.07108168,-0.24855934,-0.25216895,1.5724217,-0.6516362,0.0,0.15697068,0.032185577,0.016233314,0.05740906,0.03071561,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
711424466,0,0.0,0.0,-0.031839564,0.60431087,-0.13243918,-0.014725093,0.004103156,0.59175354,0.00049803994,0.0008527415,-0.19182092,-0.057299253,0.12236832,0.09785107,-0.058551528,0.08220489,-0.07775983,-0.1619699,1.5724709,-0.6516362,0.0,0.15527882,0.032219544,0.016233198,0.05746332,0.030715458,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
711525980,0,0.0,0.0,-0.03187462,0.60458547,-0.13106123,-0.014725093,0.004103156,0.59175354,0.00041632057,0.001534317,-0.19132085,-0.054417077,0.12236832,0.09785107,-0.058551528,-0.106597915,0.061408278,-0.37960294,1.5724258,-0.6516362,0.0,0.15520626,0.033067428,0.016233012,0.058085233,0.030711908,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
711617347,0,0.0,0.0,-0.03186122,0.6048017,-0.13009939,-0.014725093,0.004103156,0.59175354,0.0008316521,0.0010024938,-0.19052719,-0.051729474,0.12236832,0.09785107,-0.058551528,0.019307919,-0.018304767,-0.051642496,1.5724623,-0.6516362,0.0,0.15400845,0.03253986,0.016232753,0.057529733,0.030711772,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
711718872,0,0.0,0.0,-0.031866517,0.60498464,-0.12908025,-0.014725093,0.004103156,0.59175354,0.00027840398,0.0011510086,-0.19057755,-0.050143227,0.12236832,0.09785107,-0.058551528,-0.1524658,0.06239962,-0.19480379,1.5724738,-0.6516362,0.0,0.15278354,0.032469135,0.016232533,0.057473205,0.030711733,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
711825530,0,0.0,0.0,-0.031871088,0.60514575,-0.12694255,-0.014725093,0.004103156,0.59175354,0.0005900556,0.0016825416,-0.18802786,-0.04621937,0.12236832,0.09785107,-0.058551528,-0.012794515,0.043160524,-0.12272343,1.5725238,-0.6516362,0.0,0.15041915,0.032850083,0.01623236,0.057899985,0.030711753,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
712028508,0,0.0,0.0,-0.031870645,0.6053864,-0.12511475,-0.014725093,0.004103156,0.59175354,0.0004904964,0.001911182,-0.18958575,-0.045930695,0.12236832,0.09785107,-0.058551528,-0.016547043,0.10227868,-0.2228611,1.572544,-0.6516362,0.0,0.1489465,0.03271231,0.016232105,0.057696447,0.030710135,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
712119860,0,0.0,0.0,-0.031863354,0.6054564,-0.12465203,-0.014725093,0.004103156,0.59175354,0.00093865744,0.0013174536,-0.19048582,-0.046166085,0.12236832,0.09785107,-0.058551528,0.010330518,-0.14373454,-0.3220964,1.5725794,-0.6516362,0.0,0.14817187,0.033051204,0.016231963,0.05805312,0.030710157,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
712221627,0,0.0,0.0,-0.031806882,0.60550696,-0.124237575,-0.014725093,0.004103156,0.59175354,0.0014516802,0.0015868626,-0.19123954,-0.046395034,0.12236832,0.09785107,-0.058551528,0.11473881,-0.13511427,-0.34833455,1.5725836,-0.6516362,0.0,0.14738886,0.032953586,0.016231844,0.057993453,0.030710267,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
712322915,0,0.0,0.0,-0.03174211,0.60554963,-0.1238569,-0.014725093,0.004103156,0.59175354,0.0013905083,0.0021121094,-0.19118254,-0.045955975,0.12236832,0.09785107,-0.058551528,0.03757365,0.0103301555,-0.25034076,1.5726137,-0.6516362,0.0,0.14661145,0.03208866,0.016231759,0.05721555,0.030710405,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
712424423,0,0.0,0.0,-0.031661313,0.60560685,-0.12359426,-0.014725093,0.004103156,0.59175354,0.0015484213,0.0025908458,-0.19149666,-0.045964967,0.12236832,0.09785107,-0.058551528,0.069759876,0.16150686,-0.12885359,1.5726038,-0.6516362,0.0,0.1460073,0.03213051,0.016231699,0.057351936,0.030710531,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
712622383,0,0.0,0.0,-0.031483166,0.60571665,-0.12196835,-0.014725093,0.004103156,0.59175354,0.001364537,0.0028975857,-0.19112603,-0.045036986,0.12236832,0.09785107,-0.058551528,-0.086495526,-0.034373745,-0.29449573,1.5726466,-0.6516362,0.0,0.1443502,0.0322074,0.016231636,0.057424907,0.030708738,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
712723955,0,0.0,0.0,-0.031389225,0.6058065,-0.12180513,-0.014725093,0.004103156,0.59175354,0.0009614047,0.0031797916,-0.18909822,-0.04253596,0.12236832,0.09785107,-0.058551528,-0.14017211,0.004653463,-0.15625875,1.5726726,-0.6516362,0.0,0.1437147,0.032232758,0.0162315,0.05748615,0.03070877,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
712820333,0,0.0,0.0,-0.031347882,0.60592914,-0.12047005,-0.014725093,0.004103156,0.59175354,0.0017308269,0.0024849437,-0.18745819,-0.04054799,0.12236832,0.09785107,-0.058551528,-0.016257258,-0.13775642,-0.11389772,1.5727125,-0.6516362,0.0,0.14206958,0.032254823,0.016231397,0.057525024,0.030708672,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
713023369,0,0.0,0.0,-0.031363327,0.6061942,-0.1172408,-0.014725093,0.004103156,0.59175354,0.0008652991,0.0038063144,-0.18429194,-0.03670858,0.12236832,0.09785107,-0.058551528,-0.0056031113,-0.17144792,-0.35705367,1.5726907,-0.6516362,0.0,0.13922496,0.03272157,0.01623119,0.05791032,0.030706532,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
