timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
734576169,734573172,0.29797703,2.14671e-06,-2.2983756,1.0064974,0.5831588,1.0361656,0
734677862,734674653,0.2981128,2.1453236e-06,0.9239229,1.0233898,0.092680395,1.0242858,0
734779197,734776149,0.29819328,2.1438593e-06,-1.3492527,1.0025576,0.20175985,1.0022055,0
734880341,734877646,0.2982021,2.1415722e-06,0.18283796,1.0026077,0.0037047525,1.0,0
735078622,735075559,0.2983685,2.1361955e-06,-0.8734665,1.0025706,0.08455416,1.0,0
735179724,735177043,0.29831615,2.134223e-06,0.4425677,1.0026035,0.021706395,1.0,0
735281224,735278565,0.29826114,2.1323915e-06,-0.09389815,1.0306973,0.0009504744,1.0178486,0
735383047,735380106,0.29843888,2.129391e-06,0.4562255,1.0026819,0.023065,1.0,0
735484162,735481528,0.29849735,2.126316e-06,-0.2976165,1.0026187,0.009816027,1.0,0
735575925,735572859,0.29874685,2.120557e-06,1.0747905,1.0057967,0.12761301,1.0097303,0
735677107,735674350,0.2988038,2.1181957e-06,0.14768288,1.0317382,0.002348812,1.02035,0
735874186,735872309,0.298951,2.1160813e-06,-1.4655445,1.0313582,0.2313907,1.0341914,0
735975702,735973750,0.29906094,2.1137737e-06,-0.57117176,1.0180523,0.035605807,1.0064734,0
736078352,736075243,0.29914546,2.1120027e-06,0.64012146,1.0025517,0.04541251,1.0,0
736179481,736176734,0.29929644,2.1101464e-06,0.28895855,1.0044014,0.009236794,1.0,0
736280586,736278357,0.29946232,2.109542e-06,-2.0419292,1.002528,0.46210682,1.0264717,0
736382748,736379722,0.29957584,2.1082285e-06,0.03854829,1.0179927,0.00016218961,1.006276,0
736479147,736476135,0.29967675,2.1052194e-06,0.34576166,1.0025175,0.013250101,1.0,0
736575185,736572556,0.29966328,2.1034848e-06,-0.83601975,1.0127623,0.07668017,1.0036408,0
736677364,736674045,0.2997025,2.102973e-06,1.5648949,1.0261122,0.26517525,1.0456918,0
736782570,736780613,0.29985914,2.1035153e-06,-0.28523913,1.0473917,0.008631108,1.0318137,0
736873841,736871953,0.29992136,2.1008264e-06,-0.5027303,1.0049038,0.027944937,1.0,0
736975325,736973444,0.30001363,2.0998705e-06,-0.42334062,1.0025302,0.019862775,1.0,0
737078097,737074937,0.3001224,2.0985417e-06,0.16026837,1.0025568,0.002846716,1.0,0
737178466,737176526,0.30017275,2.0978966e-06,-0.089817196,1.0024079,0.0008941945,1.0,0
737279803,737277937,0.30032668,2.0980017e-06,-1.9477509,1.0024964,0.4204763,1.0182964,0
737381836,737379434,0.30031493,2.0977438e-06,-0.19774425,1.0294571,0.0042204326,1.0167072,0
737477934,737475845,0.300449,2.0959956e-06,-0.35074246,1.0025079,0.013634725,1.0,0
737579418,737577561,0.3005756,2.0954249e-06,0.059958756,1.0024482,0.00039847475,1.0,0
737681068,737678812,0.30055684,2.0952587e-06,0.41249585,1.0024148,0.018860325,1.0,0
