timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
322589039,322588716,-0.0066287275,0.010379437,0.018070351,0.24882075,0.0,0.0,0.0,-1.0
322591716,322591261,-0.013129923,0.011490262,0.011097473,0.24882075,0.0,0.0,0.0,-1.0
322595442,322595067,-0.011673214,0.010923856,0.014757217,0.24855383,0.0,0.0,0.0,-1.0
322600475,322600134,-0.007150248,0.0041645407,0.01932999,0.24855383,0.0,0.0,0.0,-1.0
322601779,322601404,-0.003387092,0.0018903764,0.01828681,0.24855383,0.0,0.0,0.0,-1.0
322605532,322605209,0.008879599,-0.001380439,0.019532574,0.24855383,0.0,0.0,0.0,-1.0
322609346,322609014,0.0156073375,-0.010145427,0.017832547,0.24855383,0.0,0.0,0.0,-1.0
322614413,322614090,0.020036198,-0.020633254,0.020795349,0.25599965,0.0,0.0,0.0,-1.0
322615689,322615358,0.008301189,-0.019572016,0.022022802,0.25599965,0.0,0.0,0.0,-1.0
322619559,322619174,-0.019541109,-0.01242396,0.01912005,0.25599965,0.0,0.0,0.0,-1.0
322682936,322682594,0.01665484,-0.013929859,0.019706411,0.28784716,0.0,0.0,0.0,-1.0
322685521,322685142,0.014438785,-0.0027778086,0.023965515,0.28784716,0.0,0.0,0.0,-1.0
322691814,322691487,0.005182988,-0.0025774322,0.019077769,0.28784716,0.0,0.0,0.0,-1.0
322693074,322692743,-0.00181134,-0.005166525,0.01546694,0.28784716,0.0,0.0,0.0,-1.0
322696930,322696550,-0.0035760065,-0.010477268,0.021063728,0.2942028,0.0,0.0,0.0,-1.0
322700701,322700355,-0.0077884602,-0.010542511,0.024485962,0.2942028,0.0,0.0,0.0,-1.0
322703233,322702893,-0.010779837,-0.007380232,0.020235678,0.2942028,0.0,0.0,0.0,-1.0
322707160,322706705,-0.007364205,-0.008062035,0.019294063,0.2942028,0.0,0.0,0.0,-1.0
322712098,322711772,-0.00046716587,-0.0057145893,0.020147584,0.2942028,0.0,0.0,0.0,-1.0
322714730,322714318,0.0047435607,-0.0033091214,0.020182533,0.2942028,0.0,0.0,0.0,-1.0
322717176,322716845,-0.0045456397,-0.0022037697,0.0172872,0.2971379,0.0,0.0,0.0,-1.0
322721209,322720886,-0.007837047,-0.0031396246,0.021882962,0.2971379,0.0,0.0,0.0,-1.0
322725097,322724680,0.0058908733,0.0019826218,0.020268176,0.2971379,0.0,0.0,0.0,-1.0
322745082,322744756,-0.0019525831,-0.012510562,0.016501967,0.298787,0.0,0.0,0.0,-1.0
322748950,322748572,-0.0056570657,-0.0074699363,0.017428098,0.298787,0.0,0.0,0.0,-1.0
322752705,322752368,-0.006772414,-0.011057435,0.017220644,0.298787,0.0,0.0,0.0,-1.0
322756500,322756174,-0.0012718735,-0.0055665923,0.019436743,0.2953367,0.0,0.0,0.0,-1.0
322759107,322758722,-0.012115546,-0.0061305934,0.01572423,0.2953367,0.0,0.0,0.0,-1.0
322762857,322762517,-0.006477918,-0.006626952,0.018852714,0.2953367,0.0,0.0,0.0,-1.0
322766666,322766333,-0.010750884,-0.007830814,0.012211587,0.2953367,0.0,0.0,0.0,-1.0
322771723,322771398,-0.009430882,-0.009862475,0.017104894,0.2953367,0.0,0.0,0.0,-1.0
322773081,322772684,-0.006838056,-0.0072979024,0.013533619,0.2953367,0.0,0.0,0.0,-1.0
322776804,322776480,-0.0075209984,-0.006628047,0.016419347,0.29902962,0.0,0.0,0.0,-1.0
322783175,322782824,-0.001754866,-0.0117093995,0.01853252,0.29902962,0.0,0.0,0.0,-1.0
322784414,322784091,0.00057933846,-0.011822016,0.016904015,0.29902962,0.0,0.0,0.0,-1.0
