timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
331393509,14.798971,14.626715,15.0016,16.53129,0.0,60.35777,0.45905977,1.0792855,nan,4,3.6566787,3.6566787,3.6566787,3.6566787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
331692634,14.523292,14.623748,17.8437,16.608164,0.0,61.743076,0.4579602,1.0794594,nan,4,3.655937,3.655937,3.655937,3.655937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
332292217,14.335328,14.596736,18.2246,16.608664,0.0,64.50118,0.44703013,1.0811918,nan,4,3.649184,3.649184,3.649184,3.649184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
332592467,14.623538,14.594707,15.8220005,16.601833,0.0,65.881035,0.44628054,1.0813107,nan,4,3.6486766,3.6486766,3.6486766,3.6486766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
332892613,14.623538,14.589114,17.5214,16.604816,0.0,67.2616,0.4435168,1.0817498,nan,4,3.6472785,3.6472785,3.6472785,3.6472785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
333192260,14.473168,14.589553,14.7671995,16.389397,0.0,68.60584,0.44370085,1.0817206,nan,4,3.6473882,3.6473882,3.6473882,3.6473882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
333493082,14.723785,14.583759,15.2653,16.554897,0.0,70.00814,0.4410792,1.0821373,nan,4,3.6459398,3.6459398,3.6459398,3.6459398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
333794442,14.460637,14.569715,18.3418,16.82516,0.0,71.43934,0.43510777,1.0830878,nan,4,3.6424286,3.6424286,3.6424286,3.6424286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
334092263,14.623538,14.5701885,17.58,16.547592,0.0,72.78419,0.4350782,1.0830925,nan,4,3.6425471,3.6425471,3.6425471,3.6425471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
334392311,14.410514,14.559482,15.3532,16.50183,0.0,74.16814,0.43000704,1.0839009,nan,4,3.6398704,3.6398704,3.6398704,3.6398704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
334692688,14.498229,14.544793,18.3418,16.706291,0.0,75.583824,0.42360884,1.0849227,nan,4,3.6361983,3.6361983,3.6361983,3.6361983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
334992202,14.397983,14.535516,15.851299,16.656322,0.0,76.96262,0.41917092,1.0856326,nan,4,3.633879,3.633879,3.633879,3.633879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
336194207,14.6861925,14.507979,16.0857,16.684328,0.0,82.580376,0.40710694,1.087567,nan,4,3.6269948,3.6269948,3.6269948,3.6269948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
336493558,14.523292,14.506775,17.4335,16.763487,0.0,83.98157,0.40640074,1.0876803,nan,4,3.6266937,3.6266937,3.6266937,3.6266937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
337092502,14.335328,14.4976845,17.4921,16.887909,0.0,86.782585,0.40262228,1.0882878,nan,4,3.6244211,3.6244211,3.6244211,3.6244211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
337392205,14.585946,14.486833,15.470401,16.93255,0.0,88.207184,0.39789683,1.0890484,nan,4,3.6217082,3.6217082,3.6217082,3.6217082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
337992322,14.448106,14.494957,15.939199,16.576012,0.0,90.94176,0.40134102,1.0884938,nan,4,3.6237392,3.6237392,3.6237392,3.6237392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
338292708,14.535823,14.490137,15.470401,16.600939,0.0,92.329025,0.39952618,1.088786,nan,4,3.6225343,3.6225343,3.6225343,3.6225343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
338592262,14.636069,14.488777,16.7889,16.657381,0.0,93.71558,0.3986011,1.0889349,nan,4,3.6221943,3.6221943,3.6221943,3.6221943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
338893822,14.285205,14.475511,15.4997,16.55693,0.0,95.08948,0.39242893,1.0899297,nan,4,3.6188776,3.6188776,3.6188776,3.6188776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
339192198,14.410514,14.472446,13.8003,16.435085,0.0,96.44715,0.39073235,1.0902035,nan,4,3.6181116,3.6181116,3.6181116,3.6181116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
339492324,14.598477,14.469377,16.115,16.56599,0.0,97.84492,0.38944966,1.0904106,nan,4,3.6173441,3.6173441,3.6173441,3.6173441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
339792195,14.372921,14.458313,15.7048,16.673122,0.0,99.24256,0.384605,1.0911934,nan,4,3.6145782,3.6145782,3.6145782,3.6145782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
340092403,14.535823,14.451433,16.876799,16.727608,0.0,100.64424,0.3816033,1.0916791,nan,4,3.6128583,3.6128583,3.6128583,3.6128583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
340392204,14.51076,14.446938,15.9685,16.693039,0.0,102.03153,0.37916666,1.0920736,nan,4,3.6117344,3.6117344,3.6117344,3.6117344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
340692612,14.285205,14.443734,16.4666,16.6456,0.0,103.41665,0.3772841,1.0923785,nan,4,3.6109335,3.6109335,3.6109335,3.6109335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
340992754,14.498229,14.450676,16.408,16.789463,0.0,104.831116,0.38093382,1.0917873,nan,4,3.612669,3.612669,3.612669,3.612669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
341292375,14.523292,14.4479885,17.2577,16.782948,0.0,106.227554,0.3797937,1.091972,nan,4,3.6119971,3.6119971,3.6119971,3.6119971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
341592378,14.335328,14.438655,17.5507,16.899776,0.0,107.646935,0.37546116,1.092674,nan,4,3.6096637,3.6096637,3.6096637,3.6096637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
342192386,14.3102665,14.429452,17.4042,16.87465,0.0,110.46109,0.37167555,1.0932882,nan,4,3.607363,3.607363,3.607363,3.607363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
342794369,14.51076,14.427712,16.6717,16.814499,0.0,113.266914,0.37089497,1.0934148,nan,4,3.606928,3.606928,3.606928,3.606928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
343093243,14.51076,14.428897,15.2946,16.947598,0.0,114.68659,0.37167698,1.0932878,nan,4,3.6072242,3.6072242,3.6072242,3.6072242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
343392559,14.297736,14.424029,17.6679,16.952688,0.0,116.087036,0.36966997,1.0936137,nan,4,3.6060073,3.6060073,3.6060073,3.6060073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
343692279,14.435575,14.425572,17.7851,16.858864,0.0,117.48178,0.370524,1.0934751,nan,4,3.606393,3.606393,3.606393,3.606393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
344592673,14.347859,14.401324,17.58,16.695532,0.0,121.66212,0.35935742,1.0952913,nan,4,3.600331,3.600331,3.600331,3.600331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
