timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
319557964,32767,32767,32767,32767,32767,-41
319563035,32767,32767,32767,32767,5,32767
319568111,32767,32767,32767,32767,32767,-49
319573184,32767,32767,32767,32767,32767,-3
319578257,32767,32767,32767,32767,-19,32767
319583341,32767,32767,32767,32767,32767,-6
319588413,32767,32767,32767,32767,10,32767
319593487,32767,32767,32767,-23,32767,-4
319598554,32767,32767,32767,32767,32767,32767
319603631,32767,32767,32767,32767,-17,0
319608976,32767,32767,32767,32767,32767,32767
319613998,32767,32767,32767,32767,6,-20
319618951,32767,32767,32767,32767,32767,32767
319624030,32767,32767,32767,32767,32767,-12
319629001,32767,32767,32767,32767,-20,32767
319634098,32767,32767,32767,32767,32767,-17
319639153,32767,32767,32767,32767,5,32767
319644276,32767,32767,32767,-20,32767,-8
319649327,32767,32767,32767,32767,32767,32767
319654386,32767,32767,32767,32767,-20,-6
319659456,32767,32767,32767,32767,32767,32767
319664534,32767,32767,32767,32767,5,-11
319669602,32767,32767,32767,32767,32767,32767
319674672,32767,32767,32767,32767,32767,-26
319679747,32767,32767,32767,32767,-16,32767
319684829,32767,32767,32767,32767,32767,-11
319689907,32767,32767,32767,32767,8,32767
319695164,32767,32767,32767,-23,32767,-4
319700209,32767,32767,32767,32767,32767,32767
319705193,32767,32767,32767,32767,-18,-28
319710196,32767,32767,32767,32767,32767,32767
319715288,32767,32767,32767,32767,7,-27
319720365,32767,32767,32767,32767,32767,32767
319725422,32767,32767,32767,32767,32767,-29
319730501,32767,32767,32767,32767,-20,32767
319735566,32767,32767,32767,32767,32767,-39
319740649,32767,32767,32767,32767,5,32767
319745716,32767,32767,32767,32767,32767,-31
319750811,32767,32767,32767,32767,32767,32767
319755889,32767,32767,32767,-32,-18,-25
319796465,32767,32767,32767,32767,32767,-33
319801538,32767,32767,32767,32767,32767,-3
319806619,32767,32767,32767,-33,-20,-32
319811690,32767,32767,32767,32767,32767,32767
319816764,32767,32767,32767,32767,5,-39
319821836,32767,32767,32767,32767,32767,-4
319826908,32767,32767,32767,32767,32767,32767
319831983,32767,32767,32767,32767,-20,32767
319837060,32767,32767,32767,32767,32767,-40
319842139,32767,32767,32767,32767,32767,32767
319847209,32767,32767,32767,32767,-43,-41
319852321,32767,32767,32767,32767,32767,-3
319857626,32767,32767,32767,-35,-21,-40
319862575,32767,32767,32767,32767,32767,32767
319867556,32767,32767,32767,32767,5,-42
319872582,32767,32767,32767,32767,32767,-2
319877656,32767,32767,32767,32767,32767,32767
319882728,32767,32767,32767,32767,-21,-8
319897952,32767,32767,32767,32767,32767,32767
319903028,32767,32767,32767,32767,32767,-12
319908115,32767,32767,32767,32767,-21,-37
