timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
318304725,0.6863122,-0.0034554256,0.0024033452,0.7272949,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318309736,0.686317,-0.0034662348,0.002415695,0.7272903,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318314732,0.68631864,-0.0034679046,0.0024319892,0.7272887,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318319794,0.6863101,-0.0034536154,0.0024301882,0.7272968,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318324850,0.68630934,-0.0034564952,0.0024170552,0.7272976,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318329918,0.6863173,-0.003468604,0.002422849,0.7272899,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318335017,0.6863128,-0.0034662918,0.0024418829,0.7272942,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318340067,0.68630403,-0.0034561444,0.0024409064,0.7273025,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318345141,0.68631107,-0.0034501394,0.0024263903,0.727296,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318350221,0.6863224,-0.0034510402,0.0024279656,0.72728527,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318355327,0.68631345,-0.003449366,0.0024409804,0.72729367,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318360372,0.68630314,-0.0034514712,0.0024422787,0.7273034,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318365446,0.68631744,-0.0034456912,0.002429772,0.7272899,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318370512,0.68632287,-0.0034324974,0.002425236,0.7272849,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318375596,0.686303,-0.0034417862,0.002434495,0.7273035,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318380669,0.6863048,-0.0034522861,0.0024401108,0.72730184,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318385921,0.686322,-0.0034397824,0.0024259272,0.72728574,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318390991,0.6863233,-0.0034270168,0.0024193306,0.7272846,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318395924,0.6863128,-0.0034440758,0.002430591,0.7272944,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318400962,0.6863119,-0.0034569055,0.002437141,0.7272951,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318426342,0.6863205,-0.0034301765,0.0024317843,0.7272872,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318431416,0.686325,-0.003429635,0.002432804,0.7272828,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
